"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Grande Ronde/Imnaha","62","Catherine Creek","Catherine Ck.","2.5","","Catherine Creek","2018","68","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Grande Ronde/Imnaha","62","Catherine Creek","Catherine Ck.","2.5","","Catherine Creek","2019","101","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Upper Salmon","64","East Fork Salmon River","EF Salmon R.","5.6","","East Fork Salmon River","2010","468","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2017). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Upper Salmon","64","East Fork Salmon River","EF Salmon R.","5.6","","East Fork Salmon River","2011","150","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2017). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Upper Salmon","64","East Fork Salmon River","EF Salmon R.","5.6","","East Fork Salmon River","2012","211","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2017). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Upper Salmon","64","East Fork Salmon River","EF Salmon R.","5.6","","East Fork Salmon River","2013","244","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2017). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Upper Salmon","64","East Fork Salmon River","EF Salmon R.","5.6","","East Fork Salmon River","2014","289","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2017). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Upper Salmon","64","East Fork Salmon River","EF Salmon R.","5.6","","East Fork Salmon River","2015","118","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2017). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Upper Salmon","64","East Fork Salmon River","EF Salmon R.","5.6","","East Fork Salmon River","2017","6","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2017). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","South Fork Salmon","65","East Fork South Fork Salmon River","EF SF Salmon R.","3.4","","Johnson Creek","2010","862","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2010-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
