"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2018","579","0.59","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","90","Secesh River","Secesh R.","3.3","","Secesh River","1997","271","0.84","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1997-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","90","Secesh River","Secesh R.","3.3","","Secesh River","1998","229","0.92","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1997-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","90","Secesh River","Secesh R.","3.3","","Secesh River","1999","140","0.97","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1997-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","90","Secesh River","Secesh R.","3.3","","Secesh River","2000","700","0.99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1997-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1954","1159","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1957","4311","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1958","875","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1959","963","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1960","792","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
