Citation,Contributor,NMFS_POPID,DISPLAY_ORDER,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,SPECIES,Run,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2007,2429,0.945,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2008,4906,0.984,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2009,16811,0.967,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2010,15000,0.993,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2011,19250,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2012,1686,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2013,4706,0.935,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2014,20550,0.978,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2015,1361,0.99,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2016,7102,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2017,2927,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,202,3,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay,Tillamook Bay,Coho salmon,Fall,,Tillamook Bay,2018,2035,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,1994,313,0.85,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,1995,1811,0.849,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,1996,519,0.848,-99,-99,-99,-99,-99,-99,-99,-99
