#' Lower Columbia River Chinook Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2010, 1318, 0.12
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2011, 1127, 0.05
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2012, 172, 0.26
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2013, 637, 0.29
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 2014, 869, 0.22
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1964, 100, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1965, 171, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1966, 144, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1967, 147, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1968, 347, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1969, 156, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1970, 390, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1971, 635, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1972, 688, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1973, 530, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1974, 717, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1975, 751, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1976, 1192, -99
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1977, 1590, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1978, 2685, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1979, 1206, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1980, 185, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1981, 246, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1982, 422, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1983, 927, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1984, 242, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1985, 812, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1986, 901, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1987, 1093, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1988, 1003, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1989, 805, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1990, 287, 0.65
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1991, 188, 0.94
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1992, 4, 1
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1993, 40, 1
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1994, 47, 1
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1995, 29, 1
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1996, 351, 0.48
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1997, 12, 0.64
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1998, 93, 0.41
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 1999, 303, 0.51
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2000, 89, 0.96
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2001, 241, 0.64
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2002, 78, 1
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2003, 373, 0.72
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2004, 726, 0.9
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2005, 122, 0.66
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2006, 383, 1
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2007, 96, 1
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2008, 95, 0.35
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2009, 555, 0.38
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2010, 159, 0.44
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2011, 405, 0.17
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2012, 208, 0.17
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2013, 2033, 0.09
8, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Grays and Chinook Rivers", 2014, 729, 0.44
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1992, 16, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1993, 6, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1994, 25, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1995, 8, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1996, 13, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1997, 24, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1998, 34, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 1999, 16, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2000, 32, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2001, 29, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2002, 33, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2003, 57, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2004, 31, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2005, 42, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2006, 49, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2007, 45, -99
9, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Gorge", "Hood River", 2008, 21, -99
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1992, 432, 0.079
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1993, 497, 0.08
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1994, 296, 0.095
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1995, 78, 0.231
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1996, 118, 0.754
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1997, 343, 0.198
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1998, 94, 0.819
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 1999, 111, 0.207
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2000, 215, 0.298
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2001, 1109, 0.041
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2002, 1125, 0.062
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2003, 456, 0.221
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2004, 407, 0.337
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2005, 779, 0.144
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2006, 1227, 0.243
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2007, 799, 0.178
10, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Spring-run", "Gorge", "Hood River", 2008, 1302, 0.045
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1964, 4695, -99
