Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1960,1017,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1961,896,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1962,1013,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1963,740,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1964,632,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1965,496,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1966,872,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1967,352,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1968,79,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1969,143,-99,-99,-99,-99,-99,-99,-99,-99,-99
