#' Upper Willamette River Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2002, 2694, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2003, 1261, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2004, 3147, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2005, 1677, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2006, -99, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2007, -99, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2008, -99, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2009, -99, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2010, 1164, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2011, 1418, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2012, 1894, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2013, 727, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 2014, 1072, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1980, 2964, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1981, 2374, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1982, 2222, 0.96
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1983, 1816, 0.96
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1984, 3537, 0.79
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1985, 4032, 0.89
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1986, 3147, 0.9
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1987, 2636, 0.93
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1988, 3185, 0.94
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1989, 1695, 0.96
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1990, 1982, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1991, 2319, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1992, 2269, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1993, 1290, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1994, 2045, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1995, 1569, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1996, 1211, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1997, 979, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1998, 1043, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 1999, 1748, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2000, 1608, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2001, 3268, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2002, 2282, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2003, 2033, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2004, 3546, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2005, 1519, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2006, 1805, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2007, 1535, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2008, 1534, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2009, 192, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2010, 426, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2011, 315, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2012, 327, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2013, 286, 1
335, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "South Santiam River", 2014, 215, 1
