"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2006,656,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2007,548,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2008,412,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2009,498,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2010,274,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2011,210,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2012,378,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2013,972,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2014,708,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2015,1340,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2016,1532,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2017,344,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2018,624,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",241,"Steelhead (Lower Columbia River DPS)","Cascade winter","South Fork Toutle Winter Steelhead","SF Toutle R.","1.2.1.3","Steelhead","Winter","South Fork Toutle River",2019,284,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",1997,54,-99
