"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRSSchinookModel","Model","CAX05262095","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2014,1192,1
"ICSRSSchinookModel","Model","CAX05262096","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2015,707,1
"ICSRSSchinookModel","Model","CAX05262097","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2016,657,1
"ICSRSSchinookModel","Model","CAX05262098","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2017,184,1
"ICSRSSchinookModel","Model","CAX05262099","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2018,366,1
"ICSRSSchinookModel","Model","CAX05262100","Nez Perce Tribe",65,"Salmon, Chinook (Snake River spring/summer-run ESU)","South Fork Salmon","East Fork South Fork Salmon River","EF SF Salmon R.",3.4,"Chinook salmon",NA,"Johnson Creek",2019,188,1
"ICSRSSchinookModel","Model","CAX05262101","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2011,377,1
"ICSRSSchinookModel","Model","CAX05262102","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2012,651,1
"ICSRSSchinookModel","Model","CAX05262103","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2013,900,1
"ICSRSSchinookModel","Model","CAX05262104","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2014,1138,1
