"Series","Method","Citation","Contributor","NMFS_POPID","ESU","Species","MAJOR_POPULATION_GROUP","DISPLAY_ORDER","POP_NAME_LONG","COMMON_POPULATION_NAME","RUN_TIMING","START_YEAR","END_YEAR","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","Age1","Age2","Age3","Age4","Age5"
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2011,5675,0.72,0,0.01,0.2,0.78,0.02
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2012,6304,0.79,0,0.02,0.3,0.65,0.04
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2013,14727,0.82,0,0.01,0.81,0.16,0.01
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2014,7811,0.95,0,0,0.43,0.57,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2015,15532,0.96,0,0.04,0.64,0.31,0.02
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2016,9077,0.97,0,0,0.53,0.46,0.01
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2017,2113,0.97,0,0.02,0.45,0.51,0.02
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2018,1567,0.99,0,0.02,0.78,0.2,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",2019,4830,1,0,0.26,0.4,0.33,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1968,32838,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1969,15073,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1970,12645,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1971,17412,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1972,30079,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1973,18107,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1974,12281,1,0,0.01,0.25,0.72,0.03
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1975,18248,1,0,0,0.75,0.22,0.03
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1976,27715,1,0,0,0.32,0.67,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1977,10711,1,0,0,0.53,0.4,0.06
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1978,19709,1,0,0,0.52,0.46,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1979,6554,1,0,0,0.27,0.68,0.04
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1980,3777,1,0,0,0.3,0.63,0.07
