NMFS_POPID,ESU,Species,MAJOR_POPULATION_GROUP,DISPLAY_ORDER,POP_NAME_LONG,COMMON_POPULATION_NAME,RUN_TIMING,START_YEAR,END_YEAR,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,Age1,Age2,Age3,Age4,Age5,Sum of age,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,AGE_NOTES,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,TOTAL_SPAWNERS_EXC_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,HATCHERY_RETURN,HATCHERY_RETURN_NOR,Date Uploaded,Data Submitted by
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1998,836.8153051,0.81436588,2604.993909,0,0.00119265,0.13524607,0.85055361,0.01300767,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1999,1399.564096,0.75990775,3711.794126,0,0.00011648,0.71804756,0.19776451,0.08407145,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2000,1255.64471,0.76009144,8230.333347,0,0.00231711,0.11891989,0.8602122,0.0185508,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2001,1079.884668,0.69855007,2200.717712,0,0.00028417,0.50613389,0.16195741,0.33162452,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2002,1544.214934,0.625,3641.040329,0,0.00053866,0.18257952,0.76922336,0.04765847,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2003,627.3663942,0.82191781,1415.802931,0,0.00021387,0.5094508,0.41044016,0.07989517,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2004,2788,0.15566714,1200.512194,0,0,0.07838949,0.79272511,0.1288854,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2005,2183.258424,0.22093562,383.1350772,0,0.00968853,0.54240082,0.40562848,0.04228217,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2006,2182.076384,0.24965581,1553.310053,0,0.00085613,0.43767295,0.54875446,0.01271645,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2007,1744,0.43864679,1805.421369,0,0,0.60533924,0.39466076,0,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2008,3399,0.40247132,14565.58184,0,0,0.07537055,0.92462945,0,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2009,873.9059052,0.21215596,927.3942436,0,0.00106704,0.58456205,0.21267029,0.20170062,1,,,,,,,,,,,,,,,,,,,,,,,
